Latitude (decimal degrees):	51.498
Longitude (decimal degrees):	10.810
Elevation (m):	201
Radiation database:	PVGIS-SARAH2


Slope: 30 deg. 
Azimuth: 11 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20200222:1710,0.0,0.0,8.61,7.52,0.0
20200222:1810,0.0,0.0,8.39,7.31,0.0
20200222:1910,0.0,0.0,8.15,6.9,0.0
20200222:2010,0.0,0.0,7.87,6.62,0.0
20200222:2110,0.0,0.0,7.54,6.48,0.0
20200222:2210,0.0,0.0,7.29,6.28,0.0
20200222:2310,0.0,0.0,7.27,6.76,0.0
20200223:0010,0.0,0.0,7.25,6.76,0.0
20200223:0110,0.0,0.0,7.36,6.76,0.0
20200223:0210,0.0,0.0,7.22,6.21,0.0
20200223:0310,0.0,0.0,7.13,6.0,0.0
20200223:0410,0.0,0.0,7.04,5.86,0.0
20200223:0510,0.0,0.0,6.86,5.86,0.0
20200223:0610,0.0,0.0,6.71,5.79,0.0
20200223:0710,10.41,7.26,6.83,5.31,0.0
20200223:0810,75.72,15.15,6.92,5.45,0.0
20200223:0910,39.73,21.67,7.09,5.17,0.0
20200223:1010,57.7,26.3,7.31,4.83,0.0
20200223:1110,56.76,28.52,8.16,7.31,0.0
20200223:1210,83.25,28.05,9.35,9.03,0.0
20200223:1310,58.65,24.96,9.89,9.38,0.0
20200223:1410,68.11,19.62,10.0,9.38,0.0
20200223:1510,68.12,12.56,10.02,9.17,0.0
20200223:1610,10.41,4.32,10.01,9.31,0.0
20200223:1710,0.0,0.0,10.11,9.59,0.0
20200223:1810,0.0,0.0,9.47,9.38,0.0
20200223:1910,0.0,0.0,7.17,8.28,0.0
20200223:2010,0.0,0.0,5.67,7.17,0.0
20200223:2110,0.0,0.0,4.68,6.83,0.0
20200223:2210,0.0,0.0,3.94,6.62,0.0
20200223:2310,0.0,0.0,3.29,5.86,0.0
20200224:0010,0.0,0.0,2.91,5.45,0.0
20200224:0110,0.0,0.0,2.59,5.24,0.0
20200224:0210,0.0,0.0,2.3,5.03,0.0
20200224:0310,0.0,0.0,2.08,4.83,0.0
20200224:0410,0.0,0.0,2.02,4.48,0.0
20200224:0510,0.0,0.0,1.87,4.07,0.0
20200224:0610,0.0,0.0,1.54,3.66,0.0
20200224:0710,54.91,7.58,2.14,3.52,0.0
20200224:0810,249.62,15.48,2.87,3.31,0.0
20200224:0910,212.31,22.02,3.86,3.93,0.0
20200224:1010,322.47,26.66,4.38,3.38,0.0
20200224:1110,162.88,28.89,5.41,3.66,0.0
20200224:1210,166.82,28.42,5.6,4.14,0.0
20200224:1310,76.62,25.3,4.91,4.14,0.0
20200224:1410,50.14,19.94,3.94,3.38,0.0
20200224:1510,36.89,12.86,3.33,3.31,0.0
20200224:1610,11.35,4.6,3.69,4.0,0.0
20200224:1710,0.0,0.0,4.56,4.21,0.0
20200224:1810,0.0,0.0,6.13,5.17,0.0
20200224:1910,0.0,0.0,7.09,6.41,0.0
20200224:2010,0.0,0.0,8.3,6.9,0.0
20200224:2110,0.0,0.0,8.5,6.83,0.0
20200224:2210,0.0,0.0,8.35,6.48,0.0
20200224:2310,0.0,0.0,8.27,6.28,0.0
20200225:0010,0.0,0.0,8.26,6.28,0.0
20200225:0110,0.0,0.0,8.37,6.41,0.0
20200225:0210,0.0,0.0,8.35,6.41,0.0
20200225:0310,0.0,0.0,8.3,6.34,0.0
20200225:0410,0.0,0.0,8.23,6.0,0.0
20200225:0510,0.0,0.0,8.04,5.86,0.0
20200225:0610,0.0,0.0,7.77,5.38,0.0
20200225:0710,45.63,7.9,7.89,5.59,0.0
20200225:0810,168.51,15.82,7.66,5.24,0.0
20200225:0910,439.1,22.38,7.45,5.45,0.0
20200225:1010,308.26,27.03,7.61,6.0,0.0
20200225:1110,418.11,29.26,7.51,5.79,0.0
20200225:1210,109.73,28.78,7.8,6.0,0.0
20200225:1310,353.02,25.65,8.06,6.0,0.0
20200225:1410,397.84,20.26,8.18,5.86,0.0
20200225:1510,431.91,13.16,7.91,5.52,0.0
20200225:1610,45.26,4.89,7.18,4.34,0.0
20200225:1710,0.0,0.0,6.06,3.72,0.0
20200225:1810,0.0,0.0,5.21,3.38,0.0
20200225:1910,0.0,0.0,4.78,3.72,0.0
20200225:2010,0.0,0.0,4.46,3.52,0.0
20200225:2110,0.0,0.0,4.14,3.45,0.0
20200225:2210,0.0,0.0,3.31,3.66,0.0
20200225:2310,0.0,0.0,2.69,3.93,0.0
20200226:0010,0.0,0.0,2.7,4.21,0.0
20200226:0110,0.0,0.0,2.79,4.21,0.0
20200226:0210,0.0,0.0,2.76,3.66,0.0
20200226:0310,0.0,0.0,2.47,3.24,0.0
20200226:0410,0.0,0.0,1.86,2.9,0.0
20200226:0510,0.0,0.0,1.4,3.72,0.0
20200226:0610,0.0,0.0,1.52,4.69,0.0
20200226:0710,173.71,8.23,1.41,4.97,0.0
20200226:0810,37.84,16.16,1.83,4.34,0.0
20200226:0910,295.3,22.74,2.36,4.62,0.0
20200226:1010,250.76,27.4,2.97,4.48,0.0
20200226:1110,95.54,29.64,3.73,4.28,0.0
20200226:1210,156.2,29.15,3.85,4.21,0.0
20200226:1310,140.22,25.99,3.82,4.41,0.0
20200226:1410,327.84,20.58,3.7,4.14,0.0
20200226:1510,88.62,13.46,3.23,4.14,0.0
20200226:1610,29.75,5.17,2.69,4.28,0.0
20200226:1710,0.0,0.0,1.96,4.48,0.0
20200226:1810,0.0,0.0,1.55,4.07,0.0
20200226:1910,0.0,0.0,1.29,4.21,0.0
20200226:2010,0.0,0.0,1.0,4.14,0.0
20200226:2110,0.0,0.0,1.04,4.21,0.0
20200226:2210,0.0,0.0,1.22,4.28,0.0
20200226:2310,0.0,0.0,1.24,4.41,0.0
20200227:0010,0.0,0.0,1.08,4.48,0.0
20200227:0110,0.0,0.0,0.86,4.28,0.0
20200227:0210,0.0,0.0,0.59,4.21,0.0
20200227:0310,0.0,0.0,0.94,4.28,0.0
20200227:0410,0.0,0.0,1.17,4.28,0.0
20200227:0510,0.0,0.0,1.19,4.14,0.0
20200227:0610,0.0,0.0,1.02,3.86,0.0
20200227:0710,134.84,8.56,0.6,4.48,0.0
20200227:0810,224.53,16.51,1.08,5.1,0.0
20200227:0910,345.93,23.1,1.9,4.69,0.0
20200227:1010,217.22,27.78,2.48,4.34,0.0
20200227:1110,239.85,30.02,3.16,4.07,0.0
20200227:1210,363.73,29.51,3.64,3.72,0.0
20200227:1310,303.14,26.34,3.93,3.03,0.0
20200227:1410,165.27,20.9,3.88,2.41,0.0
20200227:1510,57.7,13.76,3.45,2.21,0.0
20200227:1610,40.54,5.45,2.56,1.79,0.0
20200227:1710,0.0,0.0,1.56,1.59,0.0
20200227:1810,0.0,0.0,0.9,1.59,0.0
20200227:1910,0.0,0.0,0.84,1.31,0.0
20200227:2010,0.0,0.0,0.7,1.45,0.0
20200227:2110,0.0,0.0,0.5,1.79,0.0
20200227:2210,0.0,0.0,0.38,2.21,0.0
20200227:2310,0.0,0.0,0.26,2.48,0.0
20200228:0010,0.0,0.0,0.14,2.9,0.0
20200228:0110,0.0,0.0,0.03,3.31,0.0
20200228:0210,0.0,0.0,-0.14,3.79,0.0
20200228:0310,0.0,0.0,-0.02,4.41,0.0
20200228:0410,0.0,0.0,0.47,4.76,0.0
20200228:0510,0.0,0.0,0.64,4.62,0.0
20200228:0610,0.0,0.0,0.56,4.34,0.0
20200228:0710,113.57,8.89,1.15,4.55,0.0
20200228:0810,99.19,16.85,1.84,5.72,0.0
20200228:0910,147.46,23.46,2.46,5.45,0.0
20200228:1010,150.38,28.15,3.79,6.0,0.0
20200228:1110,291.75,30.4,4.82,5.72,0.0
20200228:1210,258.66,29.88,5.26,5.31,0.0
20200228:1310,373.72,26.69,5.28,5.1,0.0
20200228:1410,661.91,21.23,5.21,4.9,0.0
20200228:1510,272.78,14.06,4.97,4.28,0.0
20200228:1610,57.77,5.73,4.41,3.38,0.0
20200228:1710,0.0,0.0,3.39,3.1,0.0
20200228:1810,0.0,0.0,2.76,3.24,0.0
20200228:1910,0.0,0.0,2.45,3.59,0.0
20200228:2010,0.0,0.0,2.47,3.79,0.0
20200228:2110,0.0,0.0,2.66,4.0,0.0
20200228:2210,0.0,0.0,2.57,4.69,0.0
20200228:2310,0.0,0.0,2.07,5.1,0.0
20200229:0010,0.0,0.0,1.81,5.24,0.0
20200229:0110,0.0,0.0,2.02,5.17,0.0
20200229:0210,0.0,0.0,2.67,5.1,0.0
20200229:0310,0.0,0.0,3.42,5.1,0.0
20200229:0410,0.0,0.0,3.92,5.03,0.0
20200229:0510,0.0,0.0,3.88,4.69,0.0
20200229:0610,0.0,0.0,4.13,4.48,0.0
20200229:0710,33.11,8.89,4.18,4.62,0.0
20200229:0810,142.57,16.85,5.19,4.9,0.0
20200229:0910,285.13,23.46,6.4,4.34,0.0
20200229:1010,541.99,28.15,7.79,4.41,0.0
20200229:1110,719.93,30.4,9.84,4.41,0.0
20200229:1210,695.72,29.88,11.27,4.9,0.0
20200229:1310,347.59,26.69,12.29,5.38,0.0
20200229:1410,222.26,21.23,12.46,5.17,0.0
20200229:1510,82.8,14.06,12.57,5.86,0.0
20200229:1610,52.8,5.73,12.07,6.07,0.0
20200229:1710,0.0,0.0,11.13,6.76,0.0
20200229:1810,0.0,0.0,9.5,6.14,0.0
20200229:1910,0.0,0.0,7.76,6.14,0.0
20200229:2010,0.0,0.0,6.67,4.76,0.0
20200229:2110,0.0,0.0,5.8,4.48,0.0
20200229:2210,0.0,0.0,4.86,4.62,0.0
20200229:2310,0.0,0.0,4.45,4.83,0.0
20200301:0010,0.0,0.0,4.24,5.03,0.0
20200301:0110,0.0,0.0,4.17,5.03,0.0
20200301:0210,0.0,0.0,3.96,4.83,0.0
20200301:0310,0.0,0.0,3.88,4.76,0.0
20200301:0410,0.0,0.0,4.09,4.97,0.0
20200301:0510,0.0,0.0,4.35,5.1,0.0
20200301:0610,0.0,0.0,3.9,5.03,0.0
20200301:0710,31.22,9.23,4.7,5.24,0.0
20200301:0810,264.36,17.21,5.41,5.45,0.0
20200301:0910,274.66,23.83,6.44,5.52,0.0
20200301:1010,324.09,28.53,7.46,6.41,0.0
20200301:1110,43.52,30.78,8.07,6.34,0.0
20200301:1210,541.04,30.25,8.4,6.14,0.0
20200301:1310,290.06,27.04,7.99,6.41,0.0
20200301:1410,423.5,21.55,8.23,6.34,0.0
20200301:1510,410.13,14.36,8.02,5.31,0.0
20200301:1610,182.9,6.01,7.65,4.07,0.0
20200301:1710,0.0,0.0,6.62,3.24,0.0
20200301:1810,0.0,0.0,6.13,2.9,0.0
20200301:1910,0.0,0.0,5.76,2.21,0.0
20200301:2010,0.0,0.0,5.14,2.07,0.0
20200301:2110,0.0,0.0,4.79,2.07,0.0
20200301:2210,0.0,0.0,4.81,2.55,0.0
20200301:2310,0.0,0.0,5.01,3.72,0.0
20200302:0010,0.0,0.0,5.35,4.28,0.0
20200302:0110,0.0,0.0,5.59,4.21,0.0
20200302:0210,0.0,0.0,5.6,4.55,0.0
20200302:0310,0.0,0.0,5.06,4.48,0.0
20200302:0410,0.0,0.0,4.35,4.62,0.0
20200302:0510,0.0,0.0,3.57,4.62,0.0
20200302:0610,0.0,0.0,3.09,4.14,0.0
20200302:0710,192.64,9.57,2.97,3.72,0.0
20200302:0810,410.88,17.56,3.34,4.21,0.0
20200302:0910,656.87,24.2,3.92,4.62,0.0
20200302:1010,550.78,28.91,5.06,3.45,0.0
20200302:1110,857.88,31.16,6.2,2.76,0.0
20200302:1210,836.1,30.63,7.12,2.97,0.0
20200302:1310,808.0,27.39,7.97,2.97,0.0
20200302:1410,691.61,21.87,8.38,3.03,0.0
20200302:1510,150.64,14.66,8.42,3.38,0.0
20200302:1610,74.55,6.29,7.77,2.62,0.0
20200302:1710,0.0,0.0,6.79,2.41,0.0
20200302:1810,0.0,0.0,6.08,2.48,0.0
20200302:1910,0.0,0.0,5.64,2.48,0.0
20200302:2010,0.0,0.0,5.36,2.07,0.0
20200302:2110,0.0,0.0,5.06,1.59,0.0
20200302:2210,0.0,0.0,4.55,1.31,0.0
20200302:2310,0.0,0.0,4.07,1.17,0.0
20200303:0010,0.0,0.0,3.67,1.17,0.0
20200303:0110,0.0,0.0,3.43,1.17,0.0
20200303:0210,0.0,0.0,3.42,1.31,0.0
20200303:0310,0.0,0.0,3.64,1.66,0.0
20200303:0410,0.0,0.0,3.79,2.21,0.0
20200303:0510,0.0,0.0,3.91,2.69,0.0
20200303:0610,0.0,0.0,3.89,3.38,0.0
20200303:0710,84.71,9.91,3.84,3.72,0.0
20200303:0810,161.21,17.92,3.58,3.66,0.0
20200303:0910,218.43,24.57,3.47,3.93,0.0
20200303:1010,432.03,29.3,3.84,5.93,0.0
20200303:1110,530.71,31.55,5.18,5.93,0.0
20200303:1210,403.38,31.0,6.13,5.52,0.0
20200303:1310,781.38,27.74,6.69,4.83,0.0
20200303:1410,504.23,22.2,6.62,4.14,0.0
20200303:1510,221.87,14.96,6.31,3.79,0.0
20200303:1610,113.52,6.57,5.82,2.83,0.0
20200303:1710,0.0,0.0,4.65,2.07,0.0
20200303:1810,0.0,0.0,3.32,2.0,0.0
20200303:1910,0.0,0.0,2.33,2.41,0.0
20200303:2010,0.0,0.0,1.68,2.55,0.0
20200303:2110,0.0,0.0,1.28,2.41,0.0
20200303:2210,0.0,0.0,0.52,2.34,0.0
20200303:2310,0.0,0.0,-0.08,2.34,0.0
20200304:0010,0.0,0.0,-0.51,2.28,0.0
20200304:0110,0.0,0.0,-0.94,2.28,0.0
20200304:0210,0.0,0.0,-1.35,2.21,0.0
20200304:0310,0.0,0.0,-1.63,2.14,0.0
20200304:0410,0.0,0.0,-1.82,2.14,0.0
20200304:0510,0.0,0.0,-1.74,2.07,0.0
20200304:0610,0.0,0.0,-1.73,2.14,0.0
20200304:0710,75.49,10.26,-1.2,1.86,0.0
20200304:0810,266.11,18.27,1.6,3.24,0.0
20200304:0910,257.34,24.94,3.03,4.0,0.0
20200304:1010,175.8,29.68,4.17,4.34,0.0
20200304:1110,195.76,31.93,4.9,4.41,0.0
20200304:1210,44.46,31.37,5.04,4.34,0.0
20200304:1310,171.61,28.09,5.34,4.0,0.0
20200304:1410,97.44,22.52,5.43,3.66,0.0
20200304:1510,135.28,15.26,5.4,3.52,0.0
20200304:1610,87.62,6.85,5.35,3.31,0.0
20200304:1710,0.0,0.0,4.16,2.41,0.0
20200304:1810,0.0,0.0,2.95,2.28,0.0
20200304:1910,0.0,0.0,2.29,2.28,0.0
20200304:2010,0.0,0.0,1.66,2.14,0.0
20200304:2110,0.0,0.0,1.01,1.93,0.0
20200304:2210,0.0,0.0,0.23,1.93,0.0
20200304:2310,0.0,0.0,-0.42,1.86,0.0
20200305:0010,0.0,0.0,-0.98,1.72,0.0
20200305:0110,0.0,0.0,-0.81,1.38,0.0
20200305:0210,0.0,0.0,-0.96,1.31,0.0
20200305:0310,0.0,0.0,-1.24,1.24,0.0
20200305:0410,0.0,0.0,-1.75,1.24,0.0
20200305:0510,0.0,0.0,-1.47,1.31,0.0
20200305:0610,0.0,0.0,-0.99,1.31,0.0
20200305:0710,66.44,10.6,-0.14,1.17,0.0
20200305:0810,100.08,18.64,2.33,1.79,0.0
20200305:0910,180.76,25.32,3.64,2.62,0.0
20200305:1010,437.05,30.07,4.91,3.17,0.0
20200305:1110,485.77,32.32,6.2,3.72,0.0
20200305:1210,478.17,31.75,7.25,4.55,0.0
20200305:1310,621.31,28.44,7.42,4.28,0.0
20200305:1410,458.25,22.85,7.4,4.0,0.0
20200305:1510,230.67,15.55,7.44,3.86,0.0
20200305:1610,40.24,7.13,6.91,3.31,0.0
20200305:1710,0.0,0.0,6.02,3.17,0.0
20200305:1810,0.0,0.0,5.41,3.38,0.0
20200305:1910,0.0,0.0,5.14,3.31,0.0
20200305:2010,0.0,0.0,4.7,3.59,0.0
20200305:2110,0.0,0.0,4.27,3.86,0.0
20200305:2210,0.0,0.0,3.86,3.72,0.0
20200305:2310,0.0,0.0,3.6,3.38,0.0
20200306:0010,0.0,0.0,3.44,2.83,0.0
20200306:0110,0.0,0.0,3.37,2.41,0.0
20200306:0210,0.0,0.0,3.37,2.28,0.0
20200306:0310,0.0,0.0,3.55,2.28,0.0
20200306:0410,0.0,0.0,3.94,2.28,0.0
20200306:0510,0.0,0.0,4.47,2.21,0.0
20200306:0610,0.0,0.0,5.19,2.76,0.0
20200306:0710,123.11,10.95,5.92,2.97,0.0
20200306:0810,50.14,19.0,6.12,3.31,0.0
20200306:0910,182.51,25.7,6.2,3.17,0.0
20200306:1010,131.49,30.46,6.21,3.38,0.0
20200306:1110,186.24,32.71,6.22,3.66,0.0
20200306:1210,167.42,32.13,6.1,3.38,0.0
20200306:1310,131.49,28.79,6.17,3.24,0.0
20200306:1410,85.14,23.17,6.14,3.66,0.0
20200306:1510,106.09,15.85,5.22,3.72,0.0
20200306:1610,12.3,7.41,3.7,3.86,0.0
20200306:1710,0.0,0.0,2.67,3.59,0.0
20200306:1810,0.0,0.0,2.24,4.07,0.0
20200306:1910,0.0,0.0,2.18,4.0,0.0
20200306:2010,0.0,0.0,2.03,4.07,0.0
20200306:2110,0.0,0.0,2.01,4.34,0.0
20200306:2210,0.0,0.0,1.94,4.34,0.0
20200306:2310,0.0,0.0,1.93,4.28,0.0
20200307:0010,0.0,0.0,1.98,4.14,0.0
20200307:0110,0.0,0.0,2.07,4.62,0.0
20200307:0210,0.0,0.0,2.17,4.28,0.0
20200307:0310,0.0,0.0,2.26,4.14,0.0
20200307:0410,0.0,0.0,2.32,4.14,0.0
20200307:0510,0.0,0.0,2.23,4.41,0.0
20200307:0610,6.62,2.42,2.09,4.07,0.0
20200307:0710,127.67,11.3,2.35,4.21,0.0
20200307:0810,222.98,19.36,2.91,5.03,0.0
20200307:0910,197.18,26.08,3.48,5.45,0.0
20200307:1010,408.6,30.85,4.48,5.38,0.0
20200307:1110,140.0,33.1,5.37,5.24,0.0
20200307:1210,65.27,32.5,5.68,5.03,0.0
20200307:1310,140.0,29.15,6.19,5.24,0.0
20200307:1410,53.92,23.49,6.0,4.9,0.0
20200307:1510,76.62,16.15,5.86,4.48,0.0
20200307:1610,58.18,7.69,5.48,3.52,0.0
20200307:1710,0.0,0.0,4.85,2.62,0.0
20200307:1810,0.0,0.0,4.05,2.14,0.0
20200307:1910,0.0,0.0,3.44,2.0,0.0
20200307:2010,0.0,0.0,3.16,1.86,0.0
20200307:2110,0.0,0.0,2.29,1.86,0.0
20200307:2210,0.0,0.0,1.71,1.86,0.0
20200307:2310,0.0,0.0,1.36,1.86,0.0
20200308:0010,0.0,0.0,0.58,2.07,0.0
20200308:0110,0.0,0.0,-0.12,2.21,0.0
20200308:0210,0.0,0.0,-0.33,2.28,0.0
20200308:0310,0.0,0.0,0.15,2.41,0.0
20200308:0410,0.0,0.0,1.31,2.62,0.0
20200308:0510,0.0,0.0,2.2,2.69,0.0
20200308:0610,4.73,2.76,2.74,2.76,0.0
20200308:0710,52.03,11.66,3.26,2.9,0.0
20200308:0810,54.87,19.73,4.42,3.38,0.0
20200308:0910,311.8,26.46,6.12,4.41,0.0
20200308:1010,404.15,31.24,7.57,4.97,0.0
20200308:1110,708.88,33.5,8.78,5.38,0.0
20200308:1210,410.37,32.88,9.51,5.72,0.0
20200308:1310,523.52,29.5,9.96,5.66,0.0
20200308:1410,539.1,23.82,9.87,5.45,0.0
20200308:1510,156.82,16.45,9.63,4.83,0.0
20200308:1610,34.06,7.97,9.22,4.21,0.0
20200308:1710,0.0,0.0,8.54,3.79,0.0
20200308:1810,0.0,0.0,7.93,3.52,0.0
20200308:1910,0.0,0.0,7.23,3.38,0.0
20200308:2010,0.0,0.0,6.96,3.17,0.0
20200308:2110,0.0,0.0,6.58,3.03,0.0
20200308:2210,0.0,0.0,6.36,2.97,0.0
20200308:2310,0.0,0.0,6.18,3.03,0.0
20200309:0010,0.0,0.0,6.18,3.24,0.0
20200309:0110,0.0,0.0,6.29,3.17,0.0
20200309:0210,0.0,0.0,6.08,3.03,0.0
20200309:0310,0.0,0.0,6.07,2.9,0.0
20200309:0410,0.0,0.0,5.98,2.62,0.0
20200309:0510,0.0,0.0,5.87,2.55,0.0
20200309:0610,2.84,3.11,5.75,2.55,0.0
20200309:0710,56.76,12.01,5.94,2.76,0.0
20200309:0810,122.2,20.1,6.5,3.1,0.0
20200309:0910,221.56,26.84,7.14,3.66,0.0
20200309:1010,276.73,31.64,7.92,4.21,0.0
20200309:1110,122.03,33.89,8.6,4.41,0.0
20200309:1210,514.03,33.26,9.26,4.34,0.0
20200309:1310,370.77,29.85,9.48,4.21,0.0
20200309:1410,527.18,24.14,9.33,3.93,0.0
20200309:1510,136.82,16.75,8.92,3.93,0.0
20200309:1610,203.83,8.25,7.98,2.9,0.0
20200309:1710,0.0,0.0,6.92,2.48,0.0
20200309:1810,0.0,0.0,5.65,2.41,0.0
20200309:1910,0.0,0.0,5.06,2.76,0.0
20200309:2010,0.0,0.0,4.46,2.62,0.0
20200309:2110,0.0,0.0,4.17,2.55,0.0
20200309:2210,0.0,0.0,3.46,2.69,0.0
20200309:2310,0.0,0.0,3.01,2.9,0.0
20200310:0010,0.0,0.0,2.78,3.03,0.0
20200310:0110,0.0,0.0,2.78,3.17,0.0
20200310:0210,0.0,0.0,2.55,3.45,0.0
20200310:0310,0.0,0.0,2.73,3.93,0.0
20200310:0410,0.0,0.0,3.2,4.21,0.0
20200310:0510,0.0,0.0,3.51,4.62,0.0
20200310:0610,14.19,3.46,3.56,5.24,0.0
20200310:0710,47.3,12.37,3.61,5.93,0.0
20200310:0810,177.99,20.47,3.68,6.28,0.0
20200310:0910,105.0,27.23,3.76,6.41,0.0
20200310:1010,150.41,32.03,3.98,6.14,0.0
20200310:1110,175.82,34.28,4.11,5.93,0.0
20200310:1210,241.02,33.64,5.07,5.59,0.0
20200310:1310,148.52,30.21,5.53,5.24,0.0
20200310:1410,109.73,24.46,5.86,5.03,0.0
20200310:1510,65.27,17.04,6.43,5.31,0.0
20200310:1610,51.14,8.53,7.12,5.52,0.0
20200310:1710,0.0,0.0,7.74,5.79,0.0
20200310:1810,0.0,0.0,8.4,6.0,0.0
20200310:1910,0.0,0.0,8.54,6.07,0.0
20200310:2010,0.0,0.0,9.35,6.41,0.0
20200310:2110,0.0,0.0,9.98,6.55,0.0
20200310:2210,0.0,0.0,10.39,6.76,0.0
20200310:2310,0.0,0.0,10.52,6.69,0.0
20200311:0010,0.0,0.0,10.52,6.48,0.0
20200311:0110,0.0,0.0,10.48,6.69,0.0
20200311:0210,0.0,0.0,10.54,7.03,0.0
20200311:0310,0.0,0.0,10.32,6.9,0.0
20200311:0410,0.0,0.0,9.66,5.31,0.0
20200311:0510,0.0,0.0,8.79,4.21,0.0
20200311:0610,11.35,3.81,8.06,3.79,0.0
20200311:0710,100.03,12.73,7.33,3.17,0.0
20200311:0810,75.68,20.84,7.38,2.9,0.0
20200311:0910,108.79,27.62,7.61,2.62,0.0
20200311:1010,140.0,32.43,7.86,2.34,0.0
20200311:1110,401.45,34.68,8.19,2.07,0.0
20200311:1210,280.7,34.02,9.28,3.1,0.0
20200311:1310,383.04,30.56,10.36,4.0,0.0
20200311:1410,299.88,24.79,10.97,5.03,0.0
20200311:1510,127.35,17.34,11.14,3.93,0.0
20200311:1610,35.0,8.81,10.84,3.52,0.0
20200311:1710,0.0,0.0,10.39,4.21,0.0
20200311:1810,0.0,0.0,10.1,4.83,0.0
20200311:1910,0.0,0.0,9.86,3.93,0.0
20200311:2010,0.0,0.0,9.77,4.07,0.0
20200311:2110,0.0,0.0,9.57,4.07,0.0
20200311:2210,0.0,0.0,9.8,4.69,0.0
20200311:2310,0.0,0.0,9.93,5.45,0.0
20200312:0010,0.0,0.0,10.23,6.07,0.0
20200312:0110,0.0,0.0,10.61,6.55,0.0
20200312:0210,0.0,0.0,10.59,6.9,0.0
20200312:0310,0.0,0.0,10.3,6.83,0.0
20200312:0410,0.0,0.0,9.88,6.83,0.0
20200312:0510,0.0,0.0,9.78,6.97,0.0
20200312:0610,17.03,4.16,9.99,7.45,0.0
20200312:0710,110.88,13.09,10.72,8.0,0.0
20200312:0810,52.03,21.21,10.47,8.62,0.0
20200312:0910,156.78,28.0,10.47,8.62,0.0
20200312:1010,75.68,32.83,9.34,7.79,0.0
20200312:1110,329.5,35.08,8.28,6.69,0.0
20200312:1210,936.81,34.4,8.93,7.45,0.0
20200312:1310,900.21,30.91,9.32,7.1,0.0
20200312:1410,737.84,25.11,9.4,6.9,0.0
20200312:1510,515.0,17.64,9.22,6.48,0.0
20200312:1610,235.28,9.08,8.69,5.1,0.0
20200312:1710,0.0,0.0,7.65,4.14,0.0
20200312:1810,0.0,0.0,6.46,3.38,0.0
20200312:1910,0.0,0.0,6.07,3.31,0.0
20200312:2010,0.0,0.0,5.86,3.79,0.0
20200312:2110,0.0,0.0,5.48,3.86,0.0
20200312:2210,0.0,0.0,5.26,4.14,0.0
20200312:2310,0.0,0.0,4.93,4.41,0.0
20200313:0010,0.0,0.0,4.54,4.55,0.0
20200313:0110,0.0,0.0,3.96,4.76,0.0
20200313:0210,0.0,0.0,3.57,4.69,0.0
20200313:0310,0.0,0.0,3.24,4.9,0.0
20200313:0410,0.0,0.0,3.22,5.17,0.0
20200313:0510,0.0,0.0,3.4,5.52,0.0
20200313:0610,17.03,4.51,3.62,5.86,0.0
20200313:0710,121.14,13.45,4.06,6.41,0.0
20200313:0810,313.01,21.59,4.78,6.14,0.0
20200313:0910,169.51,28.39,5.51,8.48,0.0
20200313:1010,781.1,33.23,6.42,8.97,0.0
20200313:1110,574.99,35.47,7.35,8.97,0.0
20200313:1210,53.92,34.78,8.01,8.9,0.0
20200313:1310,114.46,31.26,8.29,7.66,0.0
20200313:1410,93.65,25.43,8.52,7.17,0.0
20200313:1510,121.54,17.93,7.91,7.03,0.0
20200313:1610,12.3,9.36,6.83,6.21,0.0
20200313:1710,0.0,0.0,6.04,4.76,0.0
20200313:1810,0.0,0.0,5.14,4.41,0.0
20200313:1910,0.0,0.0,4.04,4.14,0.0
20200313:2010,0.0,0.0,3.76,3.79,0.0
20200313:2110,0.0,0.0,3.55,3.45,0.0
20200313:2210,0.0,0.0,3.37,2.9,0.0
20200313:2310,0.0,0.0,3.52,2.48,0.0
20200314:0010,0.0,0.0,3.38,2.0,0.0
20200314:0110,0.0,0.0,3.13,1.66,0.0
20200314:0210,0.0,0.0,2.56,1.24,0.0
20200314:0310,0.0,0.0,1.79,0.76,0.0
20200314:0410,0.0,0.0,1.89,0.48,0.0
20200314:0510,0.0,0.0,1.34,0.69,0.0
20200314:0610,25.2,4.87,0.54,0.9,0.0
20200314:0710,268.94,13.81,1.43,0.76,0.0
20200314:0810,408.3,21.96,2.55,1.66,0.0
20200314:0910,660.47,28.78,3.29,1.93,0.0
20200314:1010,901.12,33.63,4.41,2.0,0.0
20200314:1110,911.93,35.87,5.67,2.14,0.0
20200314:1210,885.48,35.16,6.67,2.34,0.0
20200314:1310,828.64,31.61,7.1,2.69,0.0
20200314:1410,705.76,25.75,7.41,2.83,0.0
20200314:1510,490.93,18.22,7.23,2.97,0.0
20200314:1610,249.17,9.63,6.72,2.69,0.0
20200314:1710,0.0,0.0,5.46,2.55,0.0
20200314:1810,0.0,0.0,3.84,2.69,0.0
20200314:1910,0.0,0.0,3.18,2.69,0.0
20200314:2010,0.0,0.0,2.47,2.76,0.0
20200314:2110,0.0,0.0,1.88,2.62,0.0
20200314:2210,0.0,0.0,1.3,2.34,0.0
20200314:2310,0.0,0.0,0.61,2.14,0.0
20200315:0010,0.0,0.0,-0.03,2.07,0.0
20200315:0110,0.0,0.0,-0.4,2.28,0.0
